Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,100.75,-61.0,-90.0,top
C2,47uF,C_0805_2012Metric,98.75,-61.25,-90.0,top
C3,100nF,C_0603_1608Metric,85.25,-69.0,180.0,top
C4,470pF,C_0603_1608Metric,81.0,-69.775,-90.0,top
C5,1nF,C_0603_1608Metric,73.5,-69.775,-90.0,top
C6,1nF,C_0603_1608Metric,66.0,-69.775,-90.0,top
C7,470pF,C_0603_1608Metric,58.5,-69.775,-90.0,top
C8,100nF,C_0603_1608Metric,85.25,-59.0,180.0,top
C9,100nF,C_0603_1608Metric,64.75,-58.5,90.0,top
D1,1N4148,D_SOD-123F,60.75,-59.25,-90.0,top
J1,SERIAL,PinHeader_1x04_P2.00mm_Vertical,111.5,-65.25,0.0,top
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,58.4,-54.79,-90.0,bottom
J3,Conn_01x02,SMA_Amphenol_901-144_Vertical,55.0,-61.25,-90.0,top
L1,10uH,L_1008_2520Metric,91.175,-69.0,180.0,top
L2,1.5uH,L_1210_3225Metric,77.25,-69.0,180.0,top
L3,1.5uH,L_1210_3225Metric,69.75,-69.0,180.0,top
L4,1.5uH,L_1210_3225Metric,62.25,-69.0,180.0,top
LED1,LED_Small,LED_0805_2012Metric,77.25,-57.5,180.0,top
Q1,MMBF170,SOT-23,85.25,-66.25,-90.0,top
R1,1,R_0603_1608Metric,96.75,-61.0,-90.0,top
R2,3.9k,R_0603_1608Metric,95.0,-61.0,90.0,top
R3,10k,Potentiometer_Bourns_3314J_Vertical,90.5,-60.75,-90.0,top
R4,270,R_0603_1608Metric,73.25,-57.5,180.0,top
R5,10k,R_0603_1608Metric,85.25,-60.75,180.0,top
R6,47,R_0603_1608Metric,85.25,-62.5,0.0,top
R7,2K,R_0603_1608Metric,63.0,-58.5,-90.0,top
SW1,SW_SPST,SW_SPST_SKQG_WithoutStem,105.75,-61.25,90.0,top
