Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,100.5,-61.0,-90.0,top
C2,47uF,C_0805_2012Metric,98.5,-61.25,-90.0,top
C7,100nF,C_0603_1608Metric,89.75,-65.25,-90.0,top
C8,100nF,C_0603_1608Metric,85.0,-59.0,180.0,top
C13,100nF,C_0603_1608Metric,64.75,-58.5,90.0,top
C14,470pF,C_0603_1608Metric,83.25,-72.5,180.0,top
C15,1nF,C_0603_1608Metric,76.25,-72.5,180.0,top
C16,1nF,C_0603_1608Metric,69.25,-72.5,180.0,top
C17,470pF,C_0603_1608Metric,62.25,-72.5,180.0,top
C18,150pF,C_0603_1608Metric,83.25,-69.0,180.0,top
C19,330pF,C_0603_1608Metric,76.25,-68.999999,180.0,top
C20,330pF,C_0603_1608Metric,69.25,-69.0,180.0,top
C21,150pF,C_0603_1608Metric,62.25,-68.999999,180.0,top
D1,1N4148,D_SOD-123F,60.75,-59.25,-90.0,top
J1,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,92.75,-72.5,0.0,top
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,82.53,-53.52,270.0,bottom
J3,Conn_01x02,SMA_Amphenol_901-144_Vertical,55.0,-61.25,-90.0,top
J4,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,92.75,-69.0,0.0,top
J5,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,87.5,-72.5,0.0,top
J6,I2C,PinHeader_2x03_P2.54mm_Vertical,111.005,-68.735,180.0,top
J7,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,87.5,-69.0,0.0,top
J8,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,58.0,-72.5,0.0,top
J9,Conn_02x01,PinSocket_2x01_P2.00mm_Vertical,58.0,-69.0,0.0,top
L2,10uH,L_0805_2012Metric,97.1875,-72.5,180.0,top
L3,5.6uH,L_0805_2012Metric,97.1875,-69.0,180.0,top
L11,1.5uH,L_0805_2012Metric,79.75,-72.5,180.0,top
L12,1.5uH,L_0805_2012Metric,72.75,-72.5,180.0,top
L13,1.5uH,L_0805_2012Metric,65.75,-72.5,180.0,top
L14,1uH,L_0805_2012Metric,79.75,-69.0,180.0,top
L15,1uH,L_0805_2012Metric,72.75,-69.0,180.0,top
L16,1uH,L_0805_2012Metric,65.75,-69.0,180.0,top
LED1,LED_Small,LED_0805_2012Metric,74.75,-57.75,180.0,top
Q1,MMBF170,SOT-23,86.75,-65.25,0.0,top
R1,1,R_0603_1608Metric,96.5,-61.0,-90.0,top
R2,3.9k,R_0603_1608Metric,94.75,-61.0,90.0,top
R3,10k,Potentiometer_Bourns_3314J_Vertical,90.25,-60.75,-90.0,top
R4,270,R_0603_1608Metric,70.75,-57.75,180.0,top
R5,10k,R_0603_1608Metric,85.0,-60.75,180.0,top
R6,47,R_0603_1608Metric,85.0,-62.5,0.0,top
R7,2K,R_0603_1608Metric,63.0,-58.5,-90.0,top
SW1,SW_SPST,SW_SPST_SKQG_WithoutStem,72.0,-64.0,0.0,top
